Title,Company,Location,Link,TechStack,ListedAt,ScrapedAt,SeniorityHint,IsEntryLevel
ETL Developer with Workday OR PeopleSoft,"Delta System & Software, Inc.",United States,https://www.linkedin.com/jobs/view/etl-developer-with-workday-or-peoplesoft-at-delta-system-software-inc-4369135425,"python, azure",2026-02-09,2026-02-10T10:06:13.337Z,mid/unspecified,false
Senior SQL Developer,Precision Technologies,United States,https://www.linkedin.com/jobs/view/senior-sql-developer-at-precision-technologies-4370462018,"sql, kafka, azure, ci/cd",2026-02-09,2026-02-10T10:06:13.337Z,senior,false
ETL Developer,NR Consulting,"Whippany, NJ",https://www.linkedin.com/jobs/view/etl-developer-at-nr-consulting-4362281780,"sql, shell",2026-02-09,2026-02-10T10:06:13.337Z,mid/unspecified,false
Developer - Informatica Developer,"V-Soft Consulting Group, Inc.","Phoenix, AZ",https://www.linkedin.com/jobs/view/developer-informatica-developer-at-v-soft-consulting-group-inc-4370486409,,2026-02-10,2026-02-10T10:06:13.337Z,mid/unspecified,false
"Software Engineer, Data Platform",Discord,San Francisco Bay Area,https://www.linkedin.com/jobs/view/software-engineer-data-platform-at-discord-4370616213,"python, java, go, sql, spark, airflow, dagster, kafka, flink, aws, azure, gcp, docker, kubernetes",2026-02-10,2026-02-10T10:06:13.337Z,mid/unspecified,false
BI/SQL Developer,Bastian Solutions,"Louisville, KY",https://www.linkedin.com/jobs/view/bi-sql-developer-at-bastian-solutions-4370538342,"sql, azure",2026-02-09,2026-02-10T10:06:13.337Z,mid/unspecified,false
Senior Oracle PL/SQL Developer,PETADATA,"Reston, VA",https://www.linkedin.com/jobs/view/senior-oracle-pl-sql-developer-at-petadata-4370892091,"go, sql, shell",2026-02-10,2026-02-10T10:06:13.337Z,senior,false
Software Developer/Data Engineer - Entry Level,Lensa,"Nashville, TN",https://www.linkedin.com/jobs/view/software-developer-data-engineer-entry-level-at-lensa-4370904407,"java, sql",2026-02-10,2026-02-10T10:06:13.337Z,entry/intern,true
PL/SQL Developer,Infobahn Softworld Inc,"Fremont, CA",https://www.linkedin.com/jobs/view/pl-sql-developer-at-infobahn-softworld-inc-4370807522,"sql, mysql, aws, azure",2026-02-09,2026-02-10T10:06:13.337Z,mid/unspecified,false
Informatica Developer,"Sunrise Systems, Inc.","Phoenix, AZ",https://www.linkedin.com/jobs/view/informatica-developer-at-sunrise-systems-inc-4370481087,ci/cd,2026-02-09,2026-02-10T10:06:13.337Z,mid/unspecified,false
Data Engineer,Dale WorkForce Solutions,"Somerset, NJ",https://www.linkedin.com/jobs/view/data-engineer-at-dale-workforce-solutions-4370949328,"python, sql, pyspark, databricks, synapse, azure, ci/cd",2026-02-10,2026-02-10T10:06:13.337Z,mid/unspecified,false
Full Stack Data Engineer,Kforce Inc,"Phoenix, AZ",https://www.linkedin.com/jobs/view/full-stack-data-engineer-at-kforce-inc-4370864134,"python, javascript, sql, snowflake",2026-02-09,2026-02-10T10:06:13.337Z,mid/unspecified,false
"Software Engineer (GenAi - Platform and Solution), AI & Data Platforms (AiDP)",Apple,"San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-genai-platform-and-solution-ai-data-platforms-aidp-at-apple-4370622052,"java, spark, flink, snowflake, aws",2026-02-10,2026-02-10T10:06:13.337Z,mid/unspecified,false
Staff Data Analyst (Remote),Weedmaps,"New York, NY",https://www.linkedin.com/jobs/view/staff-data-analyst-remote-at-weedmaps-4370560607,"python, sql, dbt",2026-02-09,2026-02-10T10:06:13.337Z,senior,false
PL/SQL Developer,Mastech Digital,"Smithfield, RI",https://www.linkedin.com/jobs/view/pl-sql-developer-at-mastech-digital-4361835037,ci/cd,2026-02-09,2026-02-10T10:06:13.337Z,mid/unspecified,false
Informatica Developer,ASK Consulting,"Charlotte, NC",https://www.linkedin.com/jobs/view/informatica-developer-at-ask-consulting-4361825271,"sql, shell, jenkins",2026-02-09,2026-02-10T10:06:13.337Z,mid/unspecified,false
Analytics Engineer,Orthodontic Partners,"Grand Rapids, MI",https://www.linkedin.com/jobs/view/analytics-engineer-at-orthodontic-partners-4370440639,"sql, azure",2026-02-09,2026-02-10T10:06:13.337Z,mid/unspecified,false
Senior Database Developer,DEVTALENTS,United States,https://www.linkedin.com/jobs/view/senior-database-developer-at-devtalents-4370643143,"java, javascript, sql, spark",2026-02-10,2026-02-10T10:06:13.337Z,senior,false
Heat Recovery Steam Generator (HRSG) Inspection & Performance Tuning Engineer,Advantage Technical,"Marlborough, MA",https://www.linkedin.com/jobs/view/heat-recovery-steam-generator-hrsg-inspection-performance-tuning-engineer-at-advantage-technical-4370835871,,2026-02-09,2026-02-10T10:06:13.337Z,mid/unspecified,false
Data Engineer (Azure / Databricks),Saxon Global,"Dallas, TX",https://www.linkedin.com/jobs/view/data-engineer-azure-databricks-at-saxon-global-4363030581,"spark, databricks, delta lake, azure, ci/cd",2026-02-09,2026-02-10T10:06:13.337Z,mid/unspecified,false
Process Utilities Engineer II,CRB,"Raleigh, NC",https://www.linkedin.com/jobs/view/process-utilities-engineer-ii-at-crb-4370565666,,2026-02-09,2026-02-10T10:06:13.337Z,mid/unspecified,false
"Data Center Plant Engineer, Mechanical",Google,"Fort Wayne, IN",https://www.linkedin.com/jobs/view/data-center-plant-engineer-mechanical-at-google-4370475898,,2026-02-10,2026-02-10T10:06:13.337Z,mid/unspecified,false
