Title,Company,Location,Link,TechStack,ListedAt,ScrapedAt,SeniorityHint,IsEntryLevel
Senior Data Engineer,Byrider,"Carmel, IN",https://www.linkedin.com/jobs/view/senior-data-engineer-at-byrider-4370536437,"python, java, sql, databricks, redshift, dynamodb, aws, azure, s3, glue, docker, kubernetes",2026-02-09,2026-02-10T09:38:53.541Z,senior,false
Azure Data Engineer,Comtello,United States,https://www.linkedin.com/jobs/view/azure-data-engineer-at-comtello-4370889115,"sql, synapse, azure, ci/cd",2026-02-09,2026-02-10T09:38:53.541Z,mid/unspecified,false
Data Engineer,CorSource,"Portland, Oregon Metropolitan Area",https://www.linkedin.com/jobs/view/data-engineer-at-corsource-4370447332,"python, sql, snowflake, azure",2026-02-09,2026-02-10T09:38:53.541Z,mid/unspecified,false
Data Engineer,SoTalent,"San Ramon, CA",https://www.linkedin.com/jobs/view/data-engineer-at-sotalent-4361806157,"python, sql, spark, pyspark, ci/cd",2026-02-09,2026-02-10T09:38:53.541Z,mid/unspecified,false
Data Engineer,Eli Lilly and Company,"Indianapolis, IN",https://www.linkedin.com/jobs/view/data-engineer-at-eli-lilly-and-company-4370893210,"python, sql, spark, pyspark, athena, databricks, airflow, kafka, flink, redshift, aws, azure, gcp, s3, emr, glue, lambda, ci/cd",2026-02-10,2026-02-10T09:38:53.541Z,mid/unspecified,false
Software Engineer - Database Engineering,Snowflake,"Menlo Park, CA",https://www.linkedin.com/jobs/view/software-engineer-database-engineering-at-snowflake-4192503326,"java, sql, hadoop, snowflake, postgresql, mysql, cassandra",2026-02-09,2026-02-10T09:38:53.541Z,mid/unspecified,false
Senior Data Engineer,Pluto TV,"West Hollywood, CA",https://www.linkedin.com/jobs/view/senior-data-engineer-at-pluto-tv-4336294444,"sql, spark, hadoop, airflow, bigquery, gcp, docker",2026-02-09,2026-02-10T09:38:53.541Z,senior,false
Data Engineer Intern,Delta Dental of Missouri,"St Louis, MO",https://www.linkedin.com/jobs/view/data-engineer-intern-at-delta-dental-of-missouri-4362264218,"python, sql",2026-02-10,2026-02-10T09:38:53.541Z,entry/intern,true
Sr. Data Engineer I,AXS,"Los Angeles, CA",https://www.linkedin.com/jobs/view/sr-data-engineer-i-at-axs-4370927700,"python, sql, airflow, dbt, snowflake, redis, aws, eventhub, ci/cd",2026-02-10,2026-02-10T09:38:53.541Z,senior,false
Data Engineer,Revel IT,"Columbus, OH",https://www.linkedin.com/jobs/view/data-engineer-at-revel-it-4370844868,"sql, synapse, azure, ci/cd",2026-02-09,2026-02-10T09:38:53.541Z,mid/unspecified,false
Data Engineer,Cyber Space Technologies LLC,"Columbus, OH",https://www.linkedin.com/jobs/view/data-engineer-at-cyber-space-technologies-llc-4370433201,"python, sql, spark, pyspark, aws",2026-02-09,2026-02-10T09:38:53.541Z,mid/unspecified,false
Data Engineer (Databricks),ComResource,"Columbus, OH",https://www.linkedin.com/jobs/view/data-engineer-databricks-at-comresource-4370528601,"python, scala, sql, spark, databricks, delta lake, airflow, dbt, aws, azure, gcp, ci/cd",2026-02-09,2026-02-10T09:38:53.541Z,mid/unspecified,false
Data Engineer,Tigunia,"Phoenix, AZ",https://www.linkedin.com/jobs/view/data-engineer-at-tigunia-4353121039,"python, sql, dbt, snowflake",2026-02-09,2026-02-10T09:38:53.541Z,mid/unspecified,false
